id,slug,url
851976,bathroom-supplies,https://www.tiktok.com/shop/c/bathroom-supplies/851976
852104,home-decor,https://www.tiktok.com/shop/c/home-decor/852104
852232,home-care-supplies,https://www.tiktok.com/shop/c/home-care-supplies/852232
852360,laundry-tools-accessories,https://www.tiktok.com/shop/c/laundry-tools-accessories/852360
852488,festive-party-supplies,https://www.tiktok.com/shop/c/festive-party-supplies/852488
852616,miscellaneous-home,https://www.tiktok.com/shop/c/miscellaneous-home/852616
856208,fragrance,https://www.tiktok.com/shop/c/fragrance/856208
856976,collectible-trading-cards,https://www.tiktok.com/shop/c/collectible-trading-cards/856976
857104,fashion-accessories,https://www.tiktok.com/shop/c/fashion-accessories/857104
857232,bags,https://www.tiktok.com/shop/c/bags/857232
857360,footwear,https://www.tiktok.com/shop/c/footwear/857360
858504,tea-coffeeware,https://www.tiktok.com/shop/c/tea-coffeeware/858504
858632,kitchen-knives,https://www.tiktok.com/shop/c/kitchen-knives/858632
858760,barbecue,https://www.tiktok.com/shop/c/barbecue/858760
858888,bar-wine-utensils,https://www.tiktok.com/shop/c/bar-wine-utensils/858888
859016,bakeware,https://www.tiktok.com/shop/c/bakeware/859016
859144,cookware,https://www.tiktok.com/shop/c/cookware/859144
859272,cutlery-tableware,https://www.tiktok.com/shop/c/cutlery-tableware/859272
859400,drinkware,https://www.tiktok.com/shop/c/drinkware/859400
859528,kitchen-utensils-gadgets,https://www.tiktok.com/shop/c/kitchen-utensils-gadgets/859528
859656,dolls-stuffed-toys,https://www.tiktok.com/shop/c/dolls-stuffed-toys/859656
859784,educational-toys,https://www.tiktok.com/shop/c/educational-toys/859784
859912,sports-outdoor-play,https://www.tiktok.com/shop/c/sports-outdoor-play/859912
860040,electric-remote-control-toys,https://www.tiktok.com/shop/c/electric-remote-control-toys/860040
860168,games-puzzles,https://www.tiktok.com/shop/c/games-puzzles/860168
860296,classic-novelty-toys,https://www.tiktok.com/shop/c/classic-novelty-toys/860296
860552,musical-instruments-accessories,https://www.tiktok.com/shop/c/musical-instruments-accessories/860552
864656,luggage-travel,https://www.tiktok.com/shop/c/luggage-travel/864656
871048,indoor-furniture,https://www.tiktok.com/shop/c/indoor-furniture/871048
871176,outdoor-furniture,https://www.tiktok.com/shop/c/outdoor-furniture/871176
871304,childrens-furniture,https://www.tiktok.com/shop/c/childrens-furniture/871304
871432,commercial-furniture,https://www.tiktok.com/shop/c/commercial-furniture/871432
871560,power-tools,https://www.tiktok.com/shop/c/power-tools/871560
871688,hand-tools,https://www.tiktok.com/shop/c/hand-tools/871688
871816,measuring-tools,https://www.tiktok.com/shop/c/measuring-tools/871816
871944,garden-tools,https://www.tiktok.com/shop/c/garden-tools/871944
872072,soldering-equipment,https://www.tiktok.com/shop/c/soldering-equipment/872072
872200,tool-organizers,https://www.tiktok.com/shop/c/tool-organizers/872200
872328,hardware,https://www.tiktok.com/shop/c/hardware/872328
872456,lights-lighting,https://www.tiktok.com/shop/c/lights-lighting/872456
872584,electrical-equipment-supplies,https://www.tiktok.com/shop/c/electrical-equipment-supplies/872584
872712,kitchen-fixtures,https://www.tiktok.com/shop/c/kitchen-fixtures/872712
872840,smart-home-systems,https://www.tiktok.com/shop/c/smart-home-systems/872840
872968,building-supplies,https://www.tiktok.com/shop/c/building-supplies/872968
873096,bathroom-fixtures,https://www.tiktok.com/shop/c/bathroom-fixtures/873096
873224,security-safety,https://www.tiktok.com/shop/c/security-safety/873224
873352,garden-supplies,https://www.tiktok.com/shop/c/garden-supplies/873352
877320,baby-clothing-shoes,https://www.tiktok.com/shop/c/baby-clothing-shoes/877320
877576,baby-travel-gear,https://www.tiktok.com/shop/c/baby-travel-gear/877576
877832,nursing-feeding,https://www.tiktok.com/shop/c/nursing-feeding/877832
878216,baby-furniture,https://www.tiktok.com/shop/c/baby-furniture/878216
878600,baby-safety,https://www.tiktok.com/shop/c/baby-safety/878600
878984,baby-toys,https://www.tiktok.com/shop/c/baby-toys/878984
879112,baby-care-health,https://www.tiktok.com/shop/c/baby-care-health/879112
880008,maternity-supplies,https://www.tiktok.com/shop/c/maternity-supplies/880008
888592,wedding-accessories,https://www.tiktok.com/shop/c/wedding-accessories/888592
900488,womens-shoes,https://www.tiktok.com/shop/c/womens-shoes/900488
900616,mens-shoes,https://www.tiktok.com/shop/c/mens-shoes/900616
900744,shoe-accessories,https://www.tiktok.com/shop/c/shoe-accessories/900744
902408,womens-bags,https://www.tiktok.com/shop/c/womens-bags/902408
902536,mens-bags,https://www.tiktok.com/shop/c/mens-bags/902536
902664,luggage-travel-bags,https://www.tiktok.com/shop/c/luggage-travel-bags/902664
902792,functional-bags,https://www.tiktok.com/shop/c/functional-bags/902792
902920,bag-accessories,https://www.tiktok.com/shop/c/bag-accessories/902920
905224,clothes-accessories,https://www.tiktok.com/shop/c/clothes-accessories/905224
905352,eyewear,https://www.tiktok.com/shop/c/eyewear/905352
905480,fashion-watches-accessories,https://www.tiktok.com/shop/c/fashion-watches-accessories/905480
905608,costume-jewelry-accessories,https://www.tiktok.com/shop/c/costume-jewelry-accessories/905608
905864,hair-accessories,https://www.tiktok.com/shop/c/hair-accessories/905864
909064,mobile-phone-accessories,https://www.tiktok.com/shop/c/mobile-phone-accessories/909064
909192,cameras-photography,https://www.tiktok.com/shop/c/cameras-photography/909192
909320,audio-video,https://www.tiktok.com/shop/c/audio-video/909320
909448,gaming-consoles,https://www.tiktok.com/shop/c/gaming-consoles/909448
909576,smart-wearable-devices,https://www.tiktok.com/shop/c/smart-wearable-devices/909576
909704,education-devices,https://www.tiktok.com/shop/c/education-devices/909704
914696,beer-wine-spirits,https://www.tiktok.com/shop/c/beer-wine-spirits/914696
914824,drinks,https://www.tiktok.com/shop/c/drinks/914824
914952,pantry-food,https://www.tiktok.com/shop/c/pantry-food/914952
915080,staples-cooking-essentials,https://www.tiktok.com/shop/c/staples-cooking-essentials/915080
915208,baking,https://www.tiktok.com/shop/c/baking/915208
915336,snacks,https://www.tiktok.com/shop/c/snacks/915336
915464,fresh-frozen-food,https://www.tiktok.com/shop/c/fresh-frozen-food/915464
924424,medical-supplies,https://www.tiktok.com/shop/c/medical-supplies/924424
927112,humanities-social-sciences,https://www.tiktok.com/shop/c/humanities-social-sciences/927112
929928,car-electronics,https://www.tiktok.com/shop/c/car-electronics/929928
930056,car-exterior-accessories,https://www.tiktok.com/shop/c/car-exterior-accessories/930056
930184,car-interior-accessories,https://www.tiktok.com/shop/c/car-interior-accessories/930184
936712,fan-shop,https://www.tiktok.com/shop/c/fan-shop/936712
937736,sports-collectibles,https://www.tiktok.com/shop/c/sports-collectibles/937736
940296,car-repair-tools,https://www.tiktok.com/shop/c/car-repair-tools/940296
940424,car-lights,https://www.tiktok.com/shop/c/car-lights/940424
940680,quads-motorhomes-boats,https://www.tiktok.com/shop/c/quads-motorhomes-boats/940680
940808,car-washing-maintenance,https://www.tiktok.com/shop/c/car-washing-maintenance/940808
940936,motorcycle-accessories,https://www.tiktok.com/shop/c/motorcycle-accessories/940936
950792,alternative-medications-treatments,https://www.tiktok.com/shop/c/alternative-medications-treatments/950792
951560,diy,https://www.tiktok.com/shop/c/diy/951560
953352,entertainment,https://www.tiktok.com/shop/c/entertainment/953352
954888,platinum-carat-gold,https://www.tiktok.com/shop/c/platinum-carat-gold/954888
955016,gold,https://www.tiktok.com/shop/c/gold/955016
955144,silver,https://www.tiktok.com/shop/c/silver/955144
955272,diamond,https://www.tiktok.com/shop/c/diamond/955272
955400,natural-crystal,https://www.tiktok.com/shop/c/natural-crystal/955400
961800,non-natural-crystal,https://www.tiktok.com/shop/c/non-natural-crystal/961800
