id,name
600075,Bar Utensils
600080,Wine Racks
600081,Bar Sets
600095,Cups & Saucers
600096,Coffee Pots
600100,Coffee Sets
600102,Milk Jugs
600103,Coffee-Making Tools
600119,Baking Tins & Molds
600121,Measuring Utensils
600123,Fire Starters
600127,Kitchen Timers
600132,Meat & Poultry Utensils
600135,Sieves and Colanders
600139,Specialty Kitchen Utensils
600145,Kitchen Knives
600146,Pots
600148,Cooking Utensils
600151,Chopping Boards
600152,Baking Utensils
600157,Blankets & Throws
600165,Sheets & Pillowcases
600203,Chair Covers
600204,Kitchen Linens
600221,Carpets & Rugs
600251,Sewing Craft Kits
600252,Sewing Tool Kits
600299,Statues & Figurines
600321,Clocks
600338,Decorative Stickers
600341,Photo Frames
600347,Hooks & Shelves
600378,Dusters/Duster Heads
600396,Cleaning Gloves
600401,Trash Bags
600403,Bins
600405,Toilet Brush & Plungers
600406,Toilet Seat Covers
600409,Cleaning Cloths
600416,Soap Dispensers
600417,Brooms
600418,Squeegees
600423,Mops
600427,Aprons
600430,Bathroom Tumblers
600436,Toothbrush Holders
600439,Shower Curtains & Rods
600447,Soap Dishes
600451,Wash Tubs & Foot Baths
600458,"Moth, Mold & Damp Proofing"
600466,Pest & Weed Control
600475,Formaldehyde Removers
600477,Home Fragrances
600569,Rain Cloths
600570,Umbrellas
600573,Raincoats
600574,Rain Shoes & Covers
600621,Storage Boxes & Bins
600686,Storage Baskets
600747,Washing Bags
600748,Hangers & Pegs
600750,Washing Lines
600756,Ironing Boards
600758,Drying Racks
600812,Household Cleaners
600839,Toilet Paper & Wipes
600852,Television
601090,Air Purifiers
601092,Humidifiers
601095,Heaters
601100,Irons
601102,Vacuums & Floor Care
601104,Fans
601106,Household Appliance Parts & Accessories
601107,Clothes Steamers
601108,Dehumidifiers
601116,Electric Window Cleaners
601194,Waistcoats & Gilets
601195,Shirts
601196,Men's Shorts
601197,Jackets & Coats
601202,Men's Jeans
601210,Men's Clothing Sets
601213,Hoodies & Sweatshirts
601216,Men's Suits
601218,Men's Pants
601223,Knitwear
601226,T-shirts
601247,Panties
601259,Shapewear
601262,Bras
601264,Skirts
601265,Blouses & Shirts
601266,Shorts
601267,Jackets & Coats
601270,Wedding Dresses
601271,Formal Dresses
601274,Leggings
601276,Jeans
601277,Pants
601280,Overalls
601281,Casual Dresses
601282,Women's Vests
601284,Women's Knitwear
601291,Women's Clothing Sets
601295,Hoodies & Sweatshirts
601296,Women's Suits
601302,Women's T-shirts
601305,Underscarves
601306,Instant Hijab
601307,Square Hijabs
601308,Pashmina Scarves
601309,Khimars
601313,Tunics
601314,Shirts & Blouses
601316,Skirts
601317,Palazzo Pants
601319,Leggings
601322,Kaftans
601323,Abayas
601324,Jumpsuits
601326,Koko & Tops
601327,Robes
601329,Trousers
601330,Sarongs
601332,Waistcoats
601333,Cardigans
601334,Jackets
601335,Coats
601340,Kids' Hijabs
601341,Girls' Islamic Clothing
601342,Boys' Islamic Clothing
601344,Hijab Pins
601345,Handsocks
601346,Socks
601347,Islamic Swimwear
601349,Peci
601350,Prayer Sets
601351,Prayer Mats
601357,Casual Trainers
601364,Sandals & Flip Flops
601366,Insoles & Heel Liners
601369,Men's Oxfords
601374,Slippers
601376,Men's Boots
601387,Oxfords
601396,Heels
601405,Slippers
601409,Women's Boots
601417,Laptop Bags
601419,Travel Bags
601429,Men's Crossbody & Shoulder Bags
601430,Men's Wallets
601431,Men's Clutches
601439,Women's Crossbody & Shoulder Bags
601440,Make-up Bags
601441,Women's Wallets
601444,Women's Clutches & Wristlets
601445,Women's Handbags
601446,Backpacks
601449,Luggage Accessories
601454,Hand & Foot Masks
601456,Foot Treatments & Remedies
601461,Contact Lens Solutions & Eyedrops
601463,Contact Lens Care Accessories
601469,Shampoo & Conditioner
601475,Feminine Creams & Moisturizers
601476,Intimate Washes & Wipes
601477,"Pads, Liners & Protectors"
601480,"Hand & Foot Lotions, Creams & Scrubs"
601490,Body Care Sets
601492,Body Moisturizers
601493,Bath & Shower
601494,Talcum Powder
601495,"Hair Removal Cream, Wax & Shave"
601498,Deodorants & Antiperspirants
601506,Body Scrubs & Peels
601508,Hand Wash
601511,Breast Cream/Lotion
601513,Mousse & Gel
601516,Hair Color
601520,Bath & Body Care
601529,Makeup Sets
601534,Lipstick & Lip Gloss
601537,Makeup Tools
601550,BB & CC Creams
601552,Makeup Fixing Spray
601554,Concealer & Foundation
601555,Bronzer & Highlighter
601556,Makeup Base and Primers
601558,Powder
601560,Blush
601565,Makeup
601582,Body Makeup
601585,Mascara
601586,Eyebrow Products
601587,Eyeliner & Lipliner
601588,Eyeshadow
601591,Nail Art & Nail Polish
601595,Lip Treatments
601602,Facial Sunscreen & Sun Care
601608,Toners
601609,Facial Cleansers
601610,Facial Massage Cream
601611,Skin Care Kits
601613,Face Scrubs & Peels
601615,Moisturizers & Mists
601616,Face Masks
601618,Makeup Remover
601619,Serums & Essences
601627,Skincare
601644,Shaving Foam & Aftershave
601646,Eye Treatments
601653,Nasal Treatment
601660,Massage Devices
601664,Body Beauty Devices
601669,Electric Eyebrow Shapers
601672,Facial Beauty Devices
601677,Accessories
601681,Hair Care
601686,Body Shaping Cream
601690,Teeth Whitening
601692,Oral Care Kits
601693,Oral Spray
601694,Mouthwash
601696,Toothpastes
601697,Toothbrushes
601698,Dental Floss & Picks
601733,Skincare Tools
601737,Sleep Masks
601756,Laptops
601760,Keyboards & Mice
601783,Monitors
601836,Desktop Computers
601893,Camera Accessories
601925,"Cases, Screen Protectors & Stickers"
601927,Phone Batteries
601936,Phone Straps & Charms
601937,"Cables, Chargers & Adapters"
601990,"Headphones, Earphones & Accessories"
602029,Speakers
602080,Wearable Accessories
602083,Smart Watches
602097,Mobile Phones
602165,Aquarium Medications
602296,Baby Skincare
602301,Baby Costume Jewelry
602317,Hair Care & Body Wash
602532,Safety Locks & Straps
602533,Electric Shock Protection
602534,Edge & Corner Guards
602536,Bed Rails & Guards
602538,Monitors
602608,Baby Hair Trimmers
602622,Baby Hair Dryers
602672,Baby Hand Sanitizer
602673,Laundry Detergent
602676,"Ear, Nose & Oral Care"
602678,Baby Clothes Sterilizers
602707,Food Processors
602734,Mattresses & Bedding
602760,"Bouncers, Jumpers & Swings"
602761,Infant & Toddler Beds
602787,Shoes
603002,Writing & Correction Tools
603041,Football
603042,Professional Sports Clothing
603065,Badminton
603084,Yoga & Pilates
603131,Surfing
603171,Dance Shoes
603221,Tennis
603247,Track & Field
603288,Boxing & Martial Arts
603295,Judo
603301,Wrestling
603304,Nunchucks
603317,Taekwondo
603331,Billiards & Snooker
603353,Exercise Hoop
603355,Ab Training
603358,Gym Balls & Accessories
603366,Pedometers
603375,Skipping Ropes
603389,Archery
603396,Table Tennis
603437,Volleyball
603477,Equestrian
603493,Skateboarding
603524,Basketball
603573,Golf
603579,Golf Shoes
603605,Darts
603625,Ice Hockey
603641,Squash
603646,Bowling
603652,Baseballs
603654,Sports & Outdoor Hats
603682,Gym Bags
603704,Joggers
603705,Sports Clothing Sets
603706,Sports Outerwear
603729,Sports Bras
603744,Baseball Shoes
603748,Basketball Shoes
603750,Volleyball Shoes
603751,Running Shoes
603755,Tennis Shoes
603758,Badminton Shoes
603760,Football Boots
603818,Fishing
603835,Knives & Tools
603856,Hiking Shoes
603872,Protective Gear
603917,Camp Kitchen
603952,Hammocks
603970,Lights & Lanterns
604054,Sleeping Gear
604059,GPS & Navigation
604065,Binoculars & Telescopes
604390,Doll Accessories
604468,Sofas
604497,Shelves & Racks
605201,Decoration
605213,Stowing & Tidying
605215,Mounts & Holders
605219,Anti-Slip Mats
605242,Sunshades
